2004_Book_AllOfStatistics.epub,all-of-statistics-2004-wasserman.epub
2014_Book_DataAnalysis.epub,data-analysis-2014-brandt.epub
2016_Book_LinearAndNonlinearProgramming.epub,linear-and-nonlinear-programming-2016-luenberger-ye.epub
2016_Book_PhilosophyOfScienceForScientis.epub,philosophy-of-science-for-scientists-2016-johansson.epub
2015_Book_DataStructuresAndAlgorithmsWit.epub,data-structures-and-algorithms-with-python-2015-lee-hubbard.epub
2014_Book_Microeconomics.epub,microeconomics-2014-dorman.epub
2017_Book_SystemDynamics.epub,system-dynamics-2017-bala-arshad-noh.epub
2015_Book_MethodsOfMathematicalModelling.epub,methods-of-mathematical-modelling-2015-witelski-bowen.epub
2017_Book_PrinciplesOfMicroeconomics.epub,principles-of-microeconomics-2017-kolmar.epub
2017_Book_LaTeXIn24Hours.epub,latex-in-24-hours-2017-datta.epub
2016_Book_TimeSeriesEconometrics.epub,time-series-econometrics-2016-neusser.epub
2014_Book_ClassicalFourierAnalysis.epub,classical-fourier-analysis-2014-grafakos.epub
2010_Book_DesignResearchInInformationSys.epub,design-research-in-information-systems-2010-hevner-chatterjee.epub
2016_Book_PrinciplesOfDataMining.epub,principles-of-data-mining-2016-bramer.epub
2016_Book_BrownianMotionMartingalesAndSt.epub,brownian-motion-martingales-and-stochastic-calculus--2016-gall.epub
2017_Book_DesignAndAnalysisOfExperiments.epub,design-and-analysis-of-experiments-2017-dean-voss-dragulji.epub
2014_Book_FoundationsForDesigningUser-Ce.epub,foundations-for-designing-usercentered-systems-2014-ritter-baxter-churchill.epub
2016_Book_HandbookOfConsumerFinanceResea.epub,handbook-of-consumer-finance-research-2016-xiao.epub
2015_Book_AppliedMultivariateStatistical.epub,applied-multivariate-statistical-analysis-2015-hrdle-simar.epub
2015_Book_DataMining.epub,data-mining-2015-aggarwal.epub
2014_Book_InternationalTradeTheoryAndPol.epub,international-trade-theory-and-policy-2014-gandolfo.epub
2017_Book_IntroductionToElectronicCommer.epub,introduction-to-electronic-commerce-and-social-commerce-2017-turban-whiteside-king-outland.epub
2017_Book_ModelingLife.epub,modeling-life-2017-garfinkel-shevtsov-guo.epub
2016_Book_APrimerOnScientificProgramming.epub,a-primer-on-scientific-programming-with-python-2016-langtangen.epub
2015_Book_StatisticalAnalysisAndDataDisp.epub,statistical-analysis-and-data-display-2015-heiberger-holland.epub
2015_Book_StatisticsAndDataAnalysisForFi.epub,statistical-analysis-and-data-display-2015-heiberger-holland.epub
2015_Book_SupplyChainManagementAndAdvanc.epub,supply-chain-management-and-advanced-planning-2015-stadtler-kilger-meyr.epub
2013_Book_ProbabilityTheory.epub,probability-theory-2013-borovkov.epub
2013_Book_BayesianAndFrequentistRegressi.epub,bayesian-and-frequentist-regression-methods-2013-wakefield.epub
2016_Book_WritingForPublication.epub,writing-for-publication-2016-jalongo-saracho.epub
2016_Book_StochasticProcessesAndCalculus.epub,stochastic-processes-and-calculus-2016-hassler.epub
2017_Book_AnIntroductionToMachineLearnin.epub,an-introduction-to-machine-learning-2017-kubat.epub
2016_Book_GuideToDiscreteMathematics.epub,guide-to-discrete-mathematics-2016-oregan.epub
2016_Book_IntroductionToTimeSeriesAndFor.epub,introduction-to-time-series-and-forecasting-2016-brockwell-davis.epub
2014_Book_MultivariateCalculusAndGeometr.epub,multivariate-calculus-and-geometry-2014-dineen.epub
2017_Book_StatisticsAndAnalysisOfScienti.epub,statistics-and-analysis-of-scientific-data-2017-bonamente.epub
2004_Book_RepresentationTheory.epub,representation-theory-2004-fulton-harris.epub
2015_Book_LinearAlgebra.epub,linear-algebra-2015-liesen-mehrmann.epub
